"","Phenotype_Name","Phenotype_Discription","Phenotype_Symptoms","Phenotype_Treatment","Phenotype_Age","Phenotype_Gender","Phenotype_Number"
"1","Multiple sclerosis","Multiple sclerosis (MS) is an autoimmune disorder characterized by destruction of myelin in the central nervous system. MS symptoms may include visual loss, extra-ocular movement disorders, paresthesias, loss of sensation, weakness, dysarthria, spasticity, ataxia, and bladder dysfunction.","Visual disturbance;Balance problems;Numbness and tingling with pins and needles;Tremor(s);Fatigue;Stiffness/Spasticity;Insomnia;Pain;Depressed mood;Anxious mood;Bladder problems;Bowel problems","Dimethyl fumarate;
more
;Glatiramer acetate;
more
;Fingolimod;
more
;Natalizumab;
more
;Baclofen;
more
;Teriflunomide;
more
;Interferon beta-1a IM Injection;
more
;Interferon beta-1a SubQ injection;
more
;Dalfampridine;
more
;Gabapentin;
more
","<20;38;20s;1,446;30s;7,363;40s;14,364;50s;14,461;60s;7,632;70+;1,339","Female=82%;Male=18%",1
"2","Neuromyelitis optica","Neuromyelitis optica (NMO), also known as Devic's disease, is an autoimmune, inflammatory disorder in which a person's own immune system attacks the optic nerves and spinal cord. This produces an inflammation of the optic nerve (optic neuritis) and the spinal cord (myelitis).","Fatigue;Stiffness/Spasticity;Pain;Insomnia;Bladder problems;Mood swings;Anxious mood;Bowel problems;Excessive daytime sleepiness (somnolence);Brain fog;Depressed mood;Sexual dysfunction;Emotional lability","Rituximab;
more
;Azathioprine;
more
;Baclofen;Gabapentin;
more
;Mycophenolate mofetil;Plasmapheresis;
more
;Prednisone;
more
;Tramadol;Carbamazepine;Duloxetine","<20;13;20s;30;30s;108;40s;150;50s;116;60s;65;70+;24","Female=80%;Male=20%",2
"3","Epilepsy","A group of disorders marked by problems in the normal functioning of the brain. These problems can produce seizures, unusual body movements, a loss of consciousness or changes in consciousness, as well as mental problems or problems with the senses.","Memory problems;Problems concentrating;Fatigue;Excessive daytime sleepiness (somnolence);Anxious mood;Depressed mood;Headaches;Insomnia;Pain","Levetiracetam;
more
;Lamotrigine;
more
;Topiramate;
more
;Lacosamide;
more
;Clonazepam;
more
;Divalproex sodium;
more
;Carbamazepine;
more
;Zonisamide;
more
;Oxcarbazepine;
more
;Phenytoin;
more
","<20;448;20s;1,365;30s;2,242;40s;2,404;50s;1,831;60s;792;70+;188","Female=68%;Male=32%",3
"4","Parkinson's disease","Parkinson's Disease is a progressive disorder of the nervous system marked by muscle tremors, muscle rigidity, decreased mobility, stooped posture, slow voluntary movements, and a mask-like facial expression.","Tremor(s);Numbness and tingling with pins and needles;Visual hallucinations;Jerky movements (dyskinesia);Slowness (bradykinesia);Stiffness/Spasticity;Fatigue;Pain;Insomnia;Anxious mood;Constipation;Depressed mood;Excess saliva","Carbidopa-Levodopa;
more
;Rasagiline;
more
;Amantadine;
more
;Pramipexole;
more
;Ropinirole;
more
;Rotigotine;
more
;Deep Brain Stimulation;
more
;Carbidopa Levodopa ER;
more
;Entacapone;
more
;Carbidopa-Entacapone-Levodopa;
more
","<20;4;20s;68;30s;236;40s;922;50s;2,891;60s;5,360;70+;5,017","Female=48%;Male=52%",4
"5","Progressive supranuclear palsy","Progressive supranuclear palsy is a rare neurodegenerative disorder characterized by gait and balance difficulties and loss of coordination of eye movements.","Slowness (bradykinesia);Balance problems;Stiffness/Spasticity;Fatigue;Eye movement difficulty;Difficulty getting comfortable in bed;Problems concentrating;Excessive daytime sleepiness (somnolence);Memory problems;Apathy;Bladder problems;Insomnia;Problems opening eyelids;Anxious mood;Constipation;Depressed mood;Sexual dysfunction;Pain;Emotional lability;Alien Hand Syndrome","Carbidopa-Levodopa;
more
;Alprazolam;Gabapentin;Lunasin;Prunes;Therapeutic brace","<20;0;20s;2;30s;9;40s;4;50s;21;60s;51;70+;85","Female=51%;Male=49%",5
"6","Human immunodeficiency virus (HIV)","HIV (human immunodeficiency virus) is a viral infection which can lead to acquired immunodeficiency syndrome (AIDS). HIV specifically attacks CD4 cells, which are part of the body's immune system. With treatment, often called antiretroviral therapy (ART), HIV infection can be well-controlled.","Insomnia;Lipodystrophy (lipoatrophy or loss of fatty tissue);Fatigue;Depressed mood;Anxious mood;Pain;Night sweats;Diarrhea;Rash or skin problems;Swollen glands;Fever/chills","Cobicistat-elvitegravir-emtricitabine-tenofovir disoproxil;
more
;Emtricitabine-Tenofovir;
more
;Efavirenz-Emtricitabine-Tenofovir;
more
;Rilpivirine-Tenofovir-Emtricitabine;
more
;Raltegravir;
more
;Efavirenz;
more
;Ritonavir;Abacavir-lamivudine;
more
;Dolutegravir;Triumeq","<20;6;20s;177;30s;624;40s;728;50s;765;60s;289;70+;52","Female=24%;Male=76%",6
"7","Multiple system atrophy","Multiple system atrophy (MSA) is a degenerative neurological disorder. MSA is associated with the degeneration of nerve cells in specific areas of the brain. This cell degeneration causes problems with movement, balance and autonomic functions of the body such as bladder control.","Balance problems;Slowness (bradykinesia);Ataxia (lack of coordination);Fatigue;Stiffness/Spasticity;Bladder problems;Problems concentrating;Difficulty getting comfortable in bed;Dizziness with hypotension upon standing;Constipation;Cold hands and feet;Depressed mood;Dry skin;Memory problems;Sexual dysfunction;Pain;Excessive daytime sleepiness (somnolence);Dry mouth;Anxious mood;Emotional lability;Insomnia;Apathy;Difficulty breathing at night","Carbidopa-Levodopa;
more
;Clonazepam;Fludrocortisone;Amantadine;Carbidopa Levodopa ER;Duloxetine;Escitalopram;Alprazolam;Amitriptyline;Baclofen","<20;0;20s;11;30s;26;40s;46;50s;166;60s;250;70+;163","Female=52%;Male=48%",7
"8","Fibromyalgia","Fibromyalgia is characterized by widespread body pain or aching muscles (myalgia) and multiple points of tenderness to palpation, called tender points. Fibromyalgia is often associated with multiple symptoms, such as amplified pain, sleep disturbances, fatigue, stiffness, headaches, and depression.","Muscle and joint pain;Pain;Fatigue;Brain fog;Pain in lower back;Muscle spasms;Insomnia;Anxious mood;Depressed mood;Balance problems;Headaches","Duloxetine;
more
;Pregabalin;
more
;Gabapentin;
more
;Tramadol;
more
;Amitriptyline;
more
;Cyclobenzaprine;
more
;Hydrocodone-Acetaminophen;
more
;Tizanidine;
more
;Baclofen;
more
;Meloxicam;
more
","<20;87;20s;2,053;30s;8,816;40s;22,665;50s;28,880;60s;16,186;70+;3,026","Female=96%;Male=4%",8
"9","Amyotrophic lateral sclerosis","ALS (amyotrophic lateral sclerosis) is a degenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brainstem and spinal cord. Symptoms include progressive weakness, atrophy, fasciculation, dysphagia, and eventual paralysis of respiratory function.","Muscle cramps;Fatigue;Muscle twitching (fasciculations);Stiffness/Spasticity;Anxious mood;Excess saliva;Depressed mood;Pain;Insomnia;Constipation","Riluzole;
more
;Baclofen;
more
;Lunasin;
more
;Deanna Protocol;
more
;Dextromethorphan-Quinidine;
more
;Coconut oil;
more
;Non-invasive Ventilator;
more
;CoQ10 (CoEnzyme Q10);Amitriptyline;
more
;Feeding Tube;
more
","<20;6;20s;133;30s;454;40s;1,235;50s;2,446;60s;2,779;70+;1,770","Female=44%;Male=56%",9
"10","Attention deficit/hyperactivity disorder","A behavior disorder in which the essential features are signs of developmentally inappropriate inattention, impulsivity, and hyperactivity. Three types include predominately inattentive, predominately hyperactive impulsive, and combined behaviors.","Inattention;Fatigue;Anxious mood;Depressed mood;Impulsive behaviors;Insomnia;Pain;Hyperactivity","Amphetamine-Dextroamphetamine;
more
;Methylphenidate;
more
;Lisdexamfetamine;
more
;Clonazepam;
more
;Bupropion;
more
;Gabapentin;
more
;Escitalopram;
more
;Atomoxetine;
more
;Trazodone;
more
;Zolpidem;
more
","<20;182;20s;1,026;30s;1,480;40s;1,321;50s;908;60s;386;70+;74","Female=69%;Male=31%",10
